problem,category
"Follow the directions below to create an equivalent fraction for `2/3` with a denominator of `6`.
 Interactive: Students follow steps to create an exploratory area model. ",20
"Follow the directions below to create an equivalent fraction for `5/6` with a denominator of `12`.
 Interactive: Students follow steps to create an exploratory area model. ",20
"Asa scored `g` goals in her soccer season last year. This year, she scored `8` times as many goals. 
How many goals did Asa score this season? Write this as an expression using `g` and `8`.
Using your expression, how many goals did Asa score this season if she scored `3` goals last season?",7
Glenda's hair was `h` inches long. She cut her hair and donated `13` inches to an organization that makes wigs for people that have lost their hair. How long was Glenda's hair after it was cut?  Write an expression using `h` and `13`.,9
"Identify the terms, coefficients, variables, and constants in the following expression:
`19 + 7d + 15e`",0
"Juan and Li are cyclist's competing in a race. Juan has covered a distance of `33` miles and is traveling at a rate of `25` miles per hour. Li has covered a distance of `36` miles and is traveling at a rate of `22.5` miles per hour. Write two equations in slope-intercept form to represent each cyclist's distance `(y)` in terms of the number of hours `(x)`.
",16
"Write an algebraic expression to match the phrase below.
""Add b to `8`, then divide by `6`""",3
What is `13 × 1000`? Interactive: Students follow steps to create an exploratory area model. ,22
"Write an expression to match the phrase:""`9` plus `h`""
",1
"Identify the terms, coefficients, variables, and constants in the following expression:
`3b + 14c + 5`",0
"Solve the following system by elimination:
`-2x-6y = 8`
`-6x-6y = 0`",12
"Write an expression to match the phrase:""`8` times `v`""",1
"The first time Sue made enchiladas, she used `2/3` teaspoon of chili flakes. The second time she made the enchiladas, she used `3` times as many chili flakes to make them hotter. How many teaspoons of chili flakes did Sue use in the hotter enchiladas?",7
